	Air Quality Network	Air Quality Network Name	Air Quality Station EoI Code	Air Quality Station Name	Air Pollutant	Air Pollutant Description	Year	Air Pollution Level	Unit Of Air Pollution Level	Data Coverage	Verification	Air Quality Station Type	Air Quality Station Area	Longitude	Latitude	Altitude	Source Of Data Flow	Calculation Time
6156	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	NO2	Nitrogen dioxide (air)	2019	26.627	ug/m3	97.81	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:37:17
6158	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	NO2	Nitrogen dioxide (air)	2020	0.3	ug/m3	98.11	1.0	Background	Urban	20.4753	44.797	141.0	E1a/validated data AQ e-Reporting	31/05/2022 20:54:52
6159	NET-RS002A	Serbian national AQ network	RS0037A	Belgrade-Vracar	NO2	Nitrogen dioxide (air)	2021	-12.912	ug/m3	94.04	3.0	Background	Urban	20.4753	44.797	141.0	E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
6161	NET-RS002A	Serbian national AQ network	RS0045A	Cacak-Institut	NO	Nitrogen monoxide (air)	2020	6.5	ug/m3	97.76	1.0	Background	Suburban	20.3455	43.8932	242.0	E1a/validated data AQ e-Reporting	31/05/2022 20:29:07
6168	NET-RS002A	Serbian national AQ network	RS0047A	Kopaonik	O3	Ozone (air)	2019	133.625	ug/m3	100.0	1.0	Background	Rural	20.8021	43.2841	1712.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:26
6170	NET-RS002A	Serbian national AQ network	RS0047A	Kopaonik	O3	Ozone (air)	2021	86.649	ug/m3	93.15	3.0	Background	Rural	20.8021	43.2841	1712.0	E2a/UTD AQ e-Reporting	31/05/2022 20:37:54
6173	NET-RS002A	Serbian national AQ network	RS0005R	Kamenicki vis	SO2	Sulphur dioxide (air)	2019	10.452	ug/m3	95.58	1.0	Background	Rural	21.9477	43.404	804.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
6175	NET-RS002A	Serbian national AQ network	RS0005R	Kamenicki vis	SO2	Sulphur dioxide (air)	2020	11.66	ug/m3	93.72	1.0	Background	Rural	21.9477	43.404	804.0	E1a/validated data AQ e-Reporting	31/05/2022 19:24:45
6176	NET-RS002A	Serbian national AQ network	RS0005R	Kamenicki vis	SO2	Sulphur dioxide (air)	2019	0.0	count	95.58	1.0	Background	Rural	21.9477	43.404	804.0	E1a/validated data AQ e-Reporting	31/05/2022 20:40:58
6178	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	SO2	Sulphur dioxide (air)	2020	31.888	ug/m3	95.9	1.0	Background	Urban	21.8966	42.5511	473.0	E1a/validated data AQ e-Reporting	31/05/2022 20:55:10
6180	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	SO2	Sulphur dioxide (air)	2020	1.529	ug/m3	95.9	1.0	Background	Urban	21.8966	42.5511	473.0	E1a/validated data AQ e-Reporting	31/05/2022 20:12:56
6183	NET-RS002A	Serbian national AQ network	RS0005R	Kamenicki vis	O3	Ozone (air)	2019	19029.533	ug/m3	97.46	1.0	Background	Rural	21.9477	43.404	804.0	E1a/validated data AQ e-Reporting	31/05/2022 21:35:41
6184	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	SO2	Sulphur dioxide (air)	2020	82.5	ug/m3	95.92	1.0	Background	Urban	21.8966	42.5511	473.0	E1a/validated data AQ e-Reporting	31/05/2022 20:57:06
6186	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	SO2	Sulphur dioxide (air)	2020	30.265	ug/m3	95.9	1.0	Background	Urban	21.8966	42.5511	473.0	E1a/validated data AQ e-Reporting	31/05/2022 20:35:11
6187	NET-RS002A	Serbian national AQ network	RS0005R	Kamenicki vis	O3	Ozone (air)	2020	79.779	ug/m3	95.36	1.0	Background	Rural	21.9477	43.404	804.0	E1a/validated data AQ e-Reporting	31/05/2022 20:37:54
6188	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	NO2	Nitrogen dioxide (air)	2021	0.0	count	91.5	3.0	Background	Urban	21.8966	42.5511	473.0	E2a/UTD AQ e-Reporting	31/05/2022 20:06:29
6193	NET-RS002A	Serbian national AQ network	RS0005R	Kamenicki vis	O3	Ozone (air)	2020	140.75	ug/m3	94.54	1.0	Background	Rural	21.9477	43.404	804.0	E1a/validated data AQ e-Reporting	31/05/2022 20:01:37
6194	NET-RS002A	Serbian national AQ network	RS0048A	Vranje	CO	Carbon monoxide (air)	2021	0.084	mg/m3	93.9	3.0	Background	Urban	21.8966	42.5511	473.0	E2a/UTD AQ e-Reporting	31/05/2022 20:54:52
